Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
D8:68:C3:C1:E5:51,59/70,-45,"AndroidAP",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1298,17.0415
CA:2C:4F:95:9C:E7,30/70,-82.3333,"HiSmart-01-ca2c4f959ce7",2.422,3,[ 1 2 5.5 11 6 24 36 48 54 ],NoInfo,NoInfo,51.1298,17.0415
10:D0:7A:BE:39:EB,27/70,-84,"DVR",2.462,11,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1298,17.0415
D4:F8:29:87:68:50,38/70,-75.3333,"BOMBAJ",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.1298,17.0415
34:2C:C4:C4:3D:85,27/70,-83,"UPC8021556",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1298,17.0415
36:2C:94:C4:3D:85,31/70,-79,"Wi-Free #InternetUPCNajszybszy",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1298,17.0415
04:D4:C4:C2:3E:44,19/70,-91,"Wazlizka 1",5.5,100,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1298,17.0415
D4:F8:29:87:68:55,41/70,-69,"BOMBAJ",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1298,17.0415
AC:F8:CC:20:E7:AA,21/70,-89,"UPC3301663",5.62,124,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1298,17.0415
E4:BE:ED:DC:85:10,30/70,-80,"korbank2.4",2.462,11,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1298,17.0415
C0:25:2F:3F:2A:A6,24/70,-82.3333,"MERCUSYS_2AA6",2.422,3,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1298,17.0415
6C:60:EB:87:82:3D,30/70,-80,"Korbank-internet-c4f5_2.4GHz",2.437,6,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1298,17.0415
00:12:2A:B8:B2:D8,26/70,-84.3333,"NETIASPOT-B8B2D0",2.442,7,[ 1 2 5.5 11 11 ],Mb,s;,51.1298,17.0415
36:2C:94:33:1B:C5,29/70,-77,"Wi-Free #InternetUPCNajszybszy",2.462,11,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1298,17.0415
00:12:2A:BC:D4:08,23/70,-87,"NETIASPOT-BCD400",2.472,13,[ 1 2 5.5 11 11 ],Mb,s;,51.1298,17.0415
34:2C:C4:33:1B:8C,36/70,-77,"UPC9995925",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1298,17.0415
68:02:B8:90:9E:E7,32/70,-79.6667,"UPC7422018",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.1298,17.0415
60:32:B1:16:73:1B,26/70,-84,"TP-Link_731B",2.427,4,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1298,17.0415
34:2C:C4:5A:8A:03,28/70,-82,"UPC6310644",2.437,6,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.1298,17.0415
78:44:76:B9:E2:B8,37/70,-73,"784476B9E2B8",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1298,17.0415
18:D6:C7:36:DA:D2,25/70,-85,"DOMEK7",2.452,9,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.1298,17.0415
