Address,Quality,SignalLevel,SSID,Frequency,Channel,BitRates,Standard,Security,Latitude,Longitude
D8:68:C3:C1:E5:51,64/70,-49.5,"AndroidAP",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
74:AC:B9:C2:A7:D8,24/70,-85.5,"Xiaomi_E225",5.2,40,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
30:93:BC:94:A5:05,33/70,-80.3333,"Orange_Swiatlowod_A500",5.54,108,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
80:2A:A8:7E:A6:B4,29/70,-81.6667,"bestnet3-wf-airmax.pl-717170530",5.7,140,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
E8:DE:27:4A:D8:D0,28/70,-84.6667,"TP-LINK_2.4GHz_4AD8D0",2.472,13,[ 1 2 5.5 11 9 6 12 24 48 ],802.11i,WPA2,51.131,17.0445
72:AC:B9:C1:A7:D8,31/70,-80,"",2.442,7,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
30:93:BC:94:A5:00,35/70,-77,"Orange_Swiatlowod_A500",2.437,6,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
A8:5E:45:94:0F:A0,27/70,-83,"HomeOnly",2.427,4,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
20:83:F8:4E:F7:64,43/70,-66.3333,"NETIASPOT-2.4GHz-4EF760",2.412,1,[ 1 2 5.5 11 18 6 9 12 48 ],802.11i,WPA2,51.131,17.0445
10:5A:F7:AF:8C:6C,26/70,-84,"NETIASPOT-2.4GHz-AF8C69",2.452,9,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
B8:69:F4:3B:44:E0,25/70,-85.6667,"MikroTik_5GHz",5.18,36,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
84:16:F9:AD:8B:F6,35/70,-75,"TP-LINK_AD8BF7",2.462,11,[ 1 2 5.5 11 6 24 36 48 54 ],802.11i,WPA2,51.131,17.0445
AC:22:05:61:05:93,35/70,-79,"UPC233C146",5.22,44,[ 6 9 12 18 24 ],NoInfo,NoInfo,51.131,17.0445
