SSID,BSSID,LEVEL
Orange_Swiatlowod_0E88,3c:17:10:50:0e:8d,-38
Orange_Swiatlowod_0E88,3c:17:10:50:0e:88,-48
UPC1861020,44:32:c8:a3:e6:d1,-49
NETIASPOT-2,4GHz-690E10,8c:59:c3:69:0e:14,-64
NETIASPOT-5GHz-690E10,8c:59:c3:69:0e:18,-67
UPC5900900,34:2c:c4:c6:9b:3c,-71
UPC5900900,34:2c:c4:c6:9b:1f,-74
HUAWEI-B311-8EEE,00:bb:1c:4c:8e:ee,-75
cyberiada,92:5c:44:cb:fd:3a,-79
FunBox3-99E8,3c:17:10:64:99:ed,-85
NETIASPOT-5GHz-69AAB0,8c:59:c3:69:aa:b8,-91
UPC5317486,ac:f8:cc:8c:23:d1,-92
WLAN1-5G-L1BA2G,b4:86:55:87:c9:e4,-93
