SSID,BSSID,LEVEL
Orange_Swiatlowod_0E88,3c:17:10:50:0e:8d,-30
UPC1861020,44:32:c8:a3:e6:d1,-43
Wi-Free #InternetUPCNajszybszy,46:32:c8:a3:e6:d3,-43
Orange_Swiatlowod_0E88,3c:17:10:50:0e:88,-63
NETIASPOT-2,4GHz-690E10,8c:59:c3:69:0e:14,-68
NETIASPOT-5GHz-690E10,8c:59:c3:69:0e:18,-68
UPC5900900,34:2c:c4:c6:9b:1f,-74
not_to_force,90:5c:44:cb:fe:f5,-75
cyberiada,92:5c:34:cb:fe:f5,-75
Wi-Free #InternetUPCNajszybszy,92:5c:14:cb:fe:f5,-75
cyberiada,92:5c:44:cb:fd:3a,-77
HUAWEI-B311-8EEE,00:bb:1c:4c:8e:ee,-78
NETIASPOT-5GHz-71E7A8,8c:59:c3:71:e7:b0,-80
NETIASPOT-2.4GHz-69AAB0,8c:59:c3:69:aa:b4,-81
FunBox3-99E8,3c:17:10:64:99:ed,-81
UPC7926317,ac:22:05:78:10:00,-90
NETIASPOT-5GHz-69AAB0,8c:59:c3:69:aa:b8,-91
Wi-Free #InternetUPCNajszybszy,3a:43:1d:3e:18:ff,-91
