SSID,BSSID,LEVEL
HUAWEI Mate 10 lite,7e:1b:30:92:f5:80,-63
Internet_Domowy_391990,34:ba:9a:39:19:90,-69
DIRECT-BD-HP DeskJet 2700 series,bc:e9:2f:4a:ad:bf,-70
UPC9995925,34:2c:c4:33:1b:c5,-74
Wi-Free #InternetUPCNajszybszy,36:2c:94:33:1b:c5,-74
dlink-053D,78:98:e8:59:05:3e,-75
,00:25:ca:45:5c:95,-76
UPC5488775,34:2c:c4:48:67:01,-76
NETIASPOT-5GHz-4A27F8,20:83:f8:4a:28:00,-77
OficjalnaSiecJezusaChrystusa,84:16:f9:bb:10:31,-78
UPC9995925,34:2c:c4:33:1b:8c,-79
UPC7380812,34:2c:c4:92:a2:ef,-79
Wi-Free #InternetUPCNajszybszy,36:2c:94:48:67:01,-79
HiSmart-01-ca2c4f959ce7,ca:2c:4f:95:9c:e7,-80
NETIASPOT-9F51B0,00:12:2a:9f:51:b8,-80
BOMBAJ,d4:f8:29:87:68:55,-81
dlink-053D,78:98:e8:59:05:3f,-81
BOMBAJ,d4:f8:29:87:68:50,-81
Audi_MMI_6849_5GHz,8a:5a:85:da:c0:a5,-82
UPC7579880,ac:f8:cc:86:3a:6a,-83
UPC7422018,68:02:b8:90:9e:e7,-83
OficjalnaSiećLucyfera,84:16:f9:bb:10:30,-85
Internet UPC,34:2c:c4:d8:77:a3,-85
NETIASPOT-BCD400,00:12:2a:bc:d4:08,-86
bestnet3-wf-airmax.pl-717170530,80:2a:a8:7e:a6:b4,-87
NETIASPOT-6AE710,00:12:2a:6a:e7:18,-87
NETIASPOT-5GHz-390538,20:83:f8:39:05:40,-87
bestnet4-wf-airmax.pl-717170530,80:2a:a8:7c:bc:1d,-88
bestnet2-wko-airmax.pl-717170530,18:e8:29:36:99:20,-89
Orange_Swiatlowod_8700,e8:d2:ff:5d:87:00,-90
korbank5g,e4:be:ed:dc:85:15,-90
Buu_5Ghz,2c:4d:54:75:b2:dc,-90
MERCUSYS_2AA6_5G,c0:25:2f:3f:2a:a8,-91
Orange_Swiatlowod_6D00,d4:f8:29:88:6d:05,-93
Torcik_Cafe_5G,1a:d6:c7:b8:b0:b2,-93
