SSID,BSSID,LEVEL
UPC4158327,68:02:b8:09:0e:5d,-75
UPC9114338,34:2c:c4:9f:e9:c2,-75
Oficjalna sieć Jezusa Chrystusa,e4:57:40:e3:9e:c5,-76
5G_LowBand,2c:79:d7:b5:57:10,-78
Zakladowa11F,18:31:bf:bf:1e:e8,-78
UPC7600080,34:2c:c4:93:33:e6,-78
UPC2888863,34:2c:c4:9f:eb:f4,-78
,72:ac:b9:c2:a7:d8,-79
NETIASPOT-5GHz-4EF760,20:83:f8:4e:f7:68,-79
Xiaomi_E225,74:ac:b9:c2:a7:d8,-80
,42:84:6a:1b:01:42,-81
UPC392F3F3,ac:22:05:cb:97:3e,-81
5G-Vectra-WiFi-843A04,5c:76:95:84:3a:0b,-82
Midki,3c:84:6a:1b:01:42,-82
TP-LINK_CA28D1,c4:e9:84:ca:28:d0,-82
Midki,3c:84:6a:1b:01:41,-82
ASUSsajsCAN,b0:be:76:6c:06:2d,-83
UPC3790862,34:2c:c4:a0:04:b9,-85
5G-Vectra-WiFi-0DA052,48:4b:d4:0d:a0:59,-85
UPC0993058,ac:f8:cc:3d:5d:3f,-86
UPC7203440,34:2c:c4:9f:f8:48,-86
londonadvising.pl,74:ea:3a:f4:34:98,-86
UPC8972658,34:2c:c4:92:b0:eb,-86
UPCF296C28_5Ghz,ac:22:05:61:e7:f2,-86
UPC1094909,34:2c:c4:a0:06:ca,-87
bestnet4-wf-airmax.pl-717170530,80:2a:a8:7c:bc:1d,-88
Orange_Swiatlowod_F110,84:1e:a3:10:f1:10,-88
NETIASPOT-5GHz-7CF4A4,8c:59:c3:7c:f4:ac,-89
Orange_Swiatlowod_D21C,b0:bb:e5:c1:d2:21,-89
Orange_Swiatlowod_F530,3c:17:10:44:f5:35,-89
HomeOnly_5G,a8:5e:45:94:0f:a4,-89
Woz_obserwacyjny_cba_nr_7,ac:f8:cc:06:7e:bc,-89
bestnet3-wf-airmax.pl-717170530,80:2a:a8:7e:a6:b4,-90
Orange_Swiatlowod_09C0,ec:be:dd:96:09:c5,-90
SkyNet!,10:27:f5:61:7f:73,-91
UPC9851863,ac:f8:cc:03:20:eb,-91
dlink-FFBD,34:0a:33:b0:ff:bf,-91
Orange_Swiatlowod_BFA0,f0:81:75:61:bf:a5,-91
,5c:a6:e6:fd:ad:7b,-92
Orange_Swiatlowod_A7B0,c0:3c:04:3b:a7:b0,-92
FunBox3-17F0,84:a1:d1:d5:17:f5,-93
