SSID,BSSID,LEVEL
Orange_Swiatlowod_0E88,3c:17:10:50:0e:8d,-31
Orange_Swiatlowod_0E88,3c:17:10:50:0e:88,-46
UPC1861020,44:32:c8:a3:e6:d1,-55
Wi-Free #InternetUPCNajszybszy,46:32:c8:a3:e6:d3,-55
NETIASPOT-5GHz-690E10,8c:59:c3:69:0e:18,-66
NETIASPOT-2,4GHz-690E10,8c:59:c3:69:0e:14,-69
HUAWEI-B311-8EEE,00:bb:1c:4c:8e:ee,-72
not_to_force,90:5c:44:cb:fe:f5,-72
UPC5900900,34:2c:c4:c6:9b:1f,-76
cyberiada,92:5c:44:cb:fd:3a,-81
NETIASPOT-2.4GHz-69AAB0,8c:59:c3:69:aa:b4,-81
NETIASPOT-5GHz-71E7A8,8c:59:c3:71:e7:b0,-82
NETIASPOT-2.4GHz-71E7A8,8c:59:c3:71:e7:ac,-82
FunBox3-99E8,3c:17:10:64:99:ed,-87
