SSID,BSSID,LEVEL
Orange_Swiatlowod_0E88,3c:17:10:50:0e:8d,-34
Orange_Swiatlowod_0E88,3c:17:10:50:0e:88,-51
UPC1861020,44:32:c8:a3:e6:d1,-52
Wi-Free #InternetUPCNajszybszy,46:32:c8:a3:e6:d3,-52
NETIASPOT-2,4GHz-690E10,8c:59:c3:69:0e:14,-64
HUAWEI-B311-8EEE,00:bb:1c:4c:8e:ee,-65
NETIASPOT-5GHz-690E10,8c:59:c3:69:0e:18,-68
cyberiada,92:5c:34:cb:fe:f5,-76
not_to_force,90:5c:44:cb:fe:f5,-77
Wi-Free #InternetUPCNajszybszy,92:5c:14:cb:fe:f5,-77
cyberiada,92:5c:44:cb:fd:3a,-78
NETIASPOT-2.4GHz-69AAB0,8c:59:c3:69:aa:b4,-78
NETIASPOT-2.4GHz-71E7A8,8c:59:c3:71:e7:ac,-79
FunBox3-99E8,3c:17:10:64:99:ed,-83
NETIASPOT-5GHz-69AAB0,8c:59:c3:69:aa:b8,-83
NETIASPOT-E4CF70,00:12:2a:e4:cf:78,-87
NETIASPOT-5GHz-71E7A8,8c:59:c3:71:e7:b0,-90
